RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15600000,Customer00000,630,Spain,Male,34,4,0.0,2,1,0,1000.0,0
2,15600001,Customer00001,665,France,Male,61,1,212345.68,2,0,1,135241.39,0
3,15600002,Customer00002,597,Spain,Female,32,4,73363.97,2,1,0,162007.17,0
4,15600003,Customer00003,538,Germany,Female,37,2,178026.61,1,0,1,125047.82,1
5,15600004,Customer00004,694,France,Male,29,4,55341.14,2,1,1,220000.0,0
6,15600005,Customer00005,674,Spain,Male,32,1,0.0,1,0,1,79314.97,0
7,15600006,Customer00006,495,Spain,Male,53,10,134544.38,1,1,0,48507.65,0
8,15600007,Customer00007,694,Spain,Male,44,1,7662.69,2,1,1,168076.27,0
9,15600008,Customer00008,677,France,Male,50,1,69641.89,1,0,0,171646.65,0
10,15600009,Customer00009,592,France,Male,25,7,132221.75,1,1,0,163143.57,0
11,15600010,Customer00010,586,France,Male,46,3,0.0,1,1,1,37855.71,0
12,15600011,Customer00011,691,Spain,Male,29,10,46049.41,3,1,1,59816.95,0
13,15600012,Customer00012,804,Germany,Male,25,4,145144.14,2,1,1,5548.99,0
14,15600013,Customer00013,688,Spain,Female,42,7,162869.16,2,1,1,213448.72,0
15,15600014,Customer00014,725,France,Female,41,9,172728.26,2,1,0,47087.71,0
16,15600015,Customer00015,570,France,Female,40,10,34150.54,1,1,1,30624.26,0
17,15600016,Customer00016,610,Germany,Male,47,8,40082.41,1,1,1,94006.76,0
18,15600017,Customer00017,708,France,Male,48,6,0.0,1,1,1,106747.85,0
19,15600018,Customer00018,520,Spain,Female,54,8,0.0,2,1,0,138308.91,0
20,15600019,Customer00019,670,Germany,Male,27,3,1798.54,1,1,0,92509.73,0
21,15600020,Customer00020,697,Spain,Female,55,9,5299.15,2,1,1,60936.91,0
22,15600021,Customer00021,646,France,Female,59,9,31711.04,1,0,1,77245.07,0
23,15600022,Customer00022,681,Spain,Male,35,4,17830.2,1,1,0,65296.52,0
24,15600023,Customer00023,656,Spain,Female,21,0,130830.34,1,0,0,180130.98,0
25,15600024,Customer00024,590,Spain,Female,24,7,126652.26,1,1,0,99636.31,0
26,15600025,Customer00025,537,France,Male,34,1,0.0,1,1,1,136500.25,0
27,15600026,Customer00026,641,France,Female,60,0,63980.26,3,1,0,87967.29,1
